location,size,total_sqft,bath,price,bhk,Price_Per_sqft
Old Madras Road,2 BHK,1200.0,2.0,72.0,2,6000.0
Bannerghatta Road,3 BHK,1550.0,3.0,78.0,3,5032.258064516129
7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
Marathahalli,4 BHK,2524.0,5.0,190.0,4,7527.733755942948
Jalahalli,2 BHK,1045.0,2.0,76.77,2,7346.411483253589
Kanakapura,3 BHK,1290.0,2.0,45.15,3,3500.0
Hoodi,2 BHK,1400.0,2.0,78.0,2,5571.428571428572
Sarjapur  Road,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
Begur Road,3 BHK,1634.0,3.0,83.33,3,5099.7552019583845
Prithvi Layout,2 BHK,1352.0,2.0,85.0,2,6286.98224852071
Balagere,2 BHK,1145.0,2.0,65.0,2,5676.855895196507
7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
Raja Rajeshwari Nagar,2 BHK,1168.0,2.0,61.0,2,5222.602739726028
Electronic City Phase II,2 BHK,1205.0,2.0,75.0,2,6224.066390041494
Yeshwanthpur,2 BHK,1195.0,2.0,100.0,2,8368.200836820084
Pai Layout,3 BHK,1550.0,2.0,90.0,3,5806.451612903225
Yelahanka,3 BHK,1603.0,3.0,96.0,3,5988.7710542732375
Malleshpalya,3 BHK,1405.0,2.0,77.0,3,5480.427046263345
KR Puram,2 BHK,1142.0,2.0,51.0,2,4465.84938704028
Whitefield,3 BHK,1870.0,3.0,90.0,3,4812.834224598931
Subramanyapura,2 BHK,1313.0,2.0,73.0,2,5559.786747905559
Hennur Gardens,3 BHK,1945.0,3.0,120.0,3,6169.665809768638
Thanisandra,3 BHK,1573.0,3.0,95.0,3,6039.4151303242215
Sarjapur  Road,2 BHK,1255.0,2.0,92.0,2,7330.677290836654
Sarjapur  Road,3 BHK,1380.0,2.0,52.0,3,3768.1159420289855
Uttarahalli,2 BHK,1279.0,2.0,48.0,2,3752.9319781078966
Hebbal,3 BHK,2526.0,2.0,250.0,3,9897.070467141726
Uttarahalli,3 BHK,1845.0,2.0,68.27,3,3700.271002710027
Motappa Layout,3 BHK,1360.0,2.0,59.27,3,4358.088235294118
Whitefield,2 BHK,1260.0,2.0,49.5,2,3928.5714285714284
Dasanapura,2 BHK,965.0,2.0,42.5,2,4404.145077720207
Hoodi,3 BHK,1350.0,2.0,48.0,3,3555.5555555555557
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
Gottigere,2 BHK,1153.0,2.0,48.5,2,4206.418039895923
Whitefield,4 BHK,2856.0,5.0,145.5,4,5094.53781512605
Malleshpalya,2 BHK,1065.0,2.0,50.0,2,4694.835680751174
Tala Cauvery Layout,2 BHK,1030.0,2.0,61.0,2,5922.330097087379
Begur Road,3 BHK,1410.0,2.0,44.42,3,3150.354609929078
Varthur,2 BHK,1055.0,2.0,45.35,2,4298.578199052133
Yelahanka,2 BHK,1304.0,2.0,79.0,2,6058.2822085889575
Kammasandra,2 BHK,990.0,2.0,31.5,2,3181.818181818182
Tumkur Road,1 BHK,700.0,1.0,30.09,1,4298.571428571428
Haralur Road,2 BHK,1300.0,2.0,73.0,2,5615.384615384615
Tumkur Road,2 BHK,1239.0,2.0,82.0,2,6618.240516545601
Hosa Road,2 BHK,1365.0,2.0,92.0,2,6739.92673992674
8th block Koramangala,2 BHK,1165.0,2.0,135.0,2,11587.982832618025
Green Glen Layout,3 BHK,1776.42,3.0,105.0,3,5910.764346269463
Bidadi,2 BHK,1107.0,2.0,33.0,2,2981.029810298103
Nallurhalli,3 BHK,1520.0,3.0,80.0,3,5263.1578947368425
Kannamangala,3 BHK,1536.0,3.0,89.0,3,5794.270833333333
Belathur,2 BHK,1050.0,2.0,38.0,2,3619.0476190476193
Hoodi,3 BHK,1850.0,3.0,146.0,3,7891.891891891892
Billekahalli,2 BHK,1112.0,2.0,62.0,2,5575.5395683453235
7th Phase JP Nagar,3 BHK,1250.0,3.0,65.0,3,5200.0
Kalena Agrahara,2 BHK,1187.0,2.0,52.0,2,4380.791912384162
Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3,4500.358422939068
Arekere,3 BHK,2072.0,3.0,108.0,3,5212.355212355213
Kanakpura Road,3 BHK,1450.0,3.0,60.91,3,4200.689655172414
Bannerghatta Road,3 BHK,1550.0,3.0,82.0,3,5290.322580645161
Hebbal,4 BHK,3067.0,4.0,230.0,4,7499.184871209651
Amruthnagar,2 BHK,1210.0,2.0,72.0,2,5950.413223140496
Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
Sathya Sai Layout,6 BHK,11338.0,9.0,1000.0,6,8819.897689186806
Kaggadasapura,3 BHK,1470.0,2.0,75.0,3,5102.040816326531
Hosur Road,3 BHK,1590.0,2.0,125.0,3,7861.635220125786
Kanakpura Road,2 BHK,1050.0,2.0,36.75,2,3500.0
Raja Rajeshwari Nagar,2 BHK,1306.0,2.0,55.91,2,4281.010719754977
Malleshwaram,3 BHK,2000.0,3.0,250.0,3,12500.0
Sarjapur,4 Bedroom,3190.0,3.0,160.0,4,5015.673981191223
Ramagondanahalli,2 BHK,1215.0,2.0,51.26,2,4218.930041152264
Budigere,3 BHK,1920.0,2.0,88.0,3,4583.333333333333
Hoodi,2 BHK,1196.0,2.0,71.74,2,5998.327759197324
Bannerghatta Road,3 BHK,1550.0,2.0,75.0,3,4838.709677419355
Thigalarapalya,2 BHK,1418.0,2.0,101.0,2,7122.708039492242
KR Puram,2 BHK,1115.0,2.0,33.45,2,3000.0000000000005
Rajiv Gandhi Nagar,2 BHK,1170.0,2.0,68.0,2,5811.965811965812
Anekal,2 BHK,1035.0,2.0,38.3,2,3700.483091787439
Kengeri,2 BHK,750.0,2.0,22.0,2,2933.3333333333335
Thanisandra,3 BHK,1917.0,3.0,122.0,3,6364.110589462703
Kaggadasapura,3 BHK,1615.0,3.0,58.0,3,3591.331269349845
Koramangala,2 BHK,1325.0,2.0,119.0,2,8981.132075471698
Tumkur Road,2 BHK,1246.0,2.0,82.0,2,6581.0593900481545
Sarjapur,2 BHK,1215.0,2.0,40.0,2,3292.1810699588477
Munnekollal,2 BHK,1200.0,2.0,49.5,2,4125.0
Kodigehaali,2 BHK,1200.0,2.0,60.0,2,5000.0
Hormavu,2 BHK,1175.0,2.0,52.0,2,4425.531914893617
Whitefield,2 BHK,920.0,2.0,63.0,2,6847.826086956522
Hosakerehalli,4 BHK,3024.0,5.0,350.0,4,11574.074074074075
Bhagyalakshmi Avenue,2 BHK,955.0,1.0,34.01,2,3561.256544502618
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
Uttarahalli,3 BHK,1425.0,2.0,64.0,3,4491.228070175439
Basavangudi,3 BHK,2150.0,3.0,265.0,3,12325.581395348838
Kaggadasapura,2 BHK,1050.0,2.0,48.0,2,4571.428571428572
Cholanayakanahalli,3 BHK,1370.0,2.0,75.0,3,5474.4525547445255
Electronic City,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
Harlur,3 BHK,1754.0,3.0,124.0,3,7069.555302166476
Kothanur,3 BHK,1847.0,3.0,110.0,3,5955.603681645913
Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
Chikka Tirupathi,3 Bedroom,3297.0,3.0,135.0,3,4094.631483166515
Doddakannelli,2 BHK,1187.0,2.0,45.0,2,3791.0699241786015
Doddaballapur,3 Bedroom,3000.0,2.0,120.0,3,4000.0
Thanisandra,1 BHK,693.0,1.0,34.3,1,4949.494949494949
Dairy Circle,3 BHK,1980.0,3.0,224.0,3,11313.131313131313
KR Puram,2 BHK,1021.0,2.0,48.0,2,4701.273261508325
Thigalarapalya,2 BHK,1165.0,2.0,95.0,2,8154.50643776824
Horamavu Agara,3 BHK,1756.0,3.0,92.0,3,5239.179954441914
Bharathi Nagar,3 BHK,1739.0,3.0,105.0,3,6037.952846463485
Munnekollal,2 BHK,950.0,2.0,46.5,2,4894.736842105263
Devanahalli,2 BHK,1080.0,2.0,53.35,2,4939.814814814815
Arekere,2 BHK,1100.0,2.0,55.0,2,5000.0
Ardendale,4 Bedroom,3200.0,4.0,205.0,4,6406.25
Sarjapur  Road,2 BHK,1311.0,2.0,78.0,2,5949.656750572082
Raja Rajeshwari Nagar,3 BHK,1608.0,3.0,67.98,3,4227.611940298508
Whitefield,2 BHK,1170.0,2.0,71.0,2,6068.376068376068
Hebbal,3 BHK,1255.0,2.0,77.68,3,6189.641434262949
Neeladri Nagar,1 BHK,674.0,1.0,21.0,1,3115.727002967359
Ramagondanahalli,3 BHK,2257.0,4.0,157.0,3,6956.136464333185
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,51.87,3,3390.1960784313724
Raja Rajeshwari Nagar,3 BHK,1575.0,2.0,78.0,3,4952.380952380952
Frazer Town,3 BHK,3500.0,4.0,330.0,3,9428.57142857143
Rajiv Nagar,2 BHK,1263.0,2.0,93.32,2,7388.756927949327
KR Puram,3 BHK,1559.0,3.0,69.315,3,4446.119307248236
Kengeri Satellite Town,2 BHK,1043.0,2.0,65.0,2,6232.023010546501
Hennur,2 BHK,1255.0,2.0,53.5,2,4262.948207171315
JP Nagar,2 BHK,1352.5,2.0,93.865,2,6940.110905730129
Chandapura,1 BHK,590.0,1.0,13.57,1,2300.0
Yelahanka,3 Bedroom,1550.0,3.0,120.0,3,7741.935483870968
Rustam Bagh Layout,3 BHK,1900.0,3.0,160.0,3,8421.052631578947
8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
KR Puram,2 BHK,1035.0,2.0,40.5,2,3913.0434782608695
Bellandur,2 BHK,1299.0,2.0,82.0,2,6312.548113933795
Rachenahalli,2 BHK,1050.0,2.0,52.5,2,5000.0
Sompura,3 BHK,1025.0,2.0,37.0,3,3609.756097560976
Malleshwaram,2 BHK,1124.0,3.0,80.0,2,7117.437722419929
Balagere,2 BHK,1012.0,2.0,54.59,2,5394.268774703557
Giri Nagar,7 BHK,4500.0,5.0,250.0,7,5555.555555555556
8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
Chinnapanahalli,2 BHK,1020.0,2.0,40.0,2,3921.5686274509803
Rachenahalli,3 BHK,1550.0,3.0,73.5,3,4741.935483870968
Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
Chikka Tirupathi,4 Bedroom,3500.0,5.0,150.0,4,4285.714285714285
Whitefield,2 BHK,1118.0,2.0,75.0,2,6708.4078711985685
Thanisandra,2 BHK,1098.0,2.0,68.0,2,6193.078324225865
Sarjapur  Road,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
Balaji Gardens Layout,2 BHK,1051.0,2.0,33.0,2,3139.8667935299713
Jalahalli,2 BHK,1478.0,2.0,125.0,2,8457.374830852503
Hebbal,2 BHK,823.0,2.0,50.63,2,6151.883353584447
Budigere,3 BHK,1991.0,4.0,100.0,3,5022.601707684581
Gubbalala,3 BHK,1745.0,3.0,115.0,3,6590.25787965616
5th Phase JP Nagar,2 BHK,1450.0,2.0,58.0,2,4000.0
Kaggadasapura,2 BHK,1132.0,2.0,42.0,2,3710.2473498233217
Hulimavu,2 BHK,1375.0,2.0,80.0,2,5818.181818181818
Thanisandra,1 BHK,760.0,1.0,50.3,1,6618.421052631579
Jigani,2 BHK,918.0,2.0,45.0,2,4901.9607843137255
Ardendale,3 BHK,1728.0,3.0,95.0,3,5497.685185185185
Malleshwaram,3 BHK,2215.0,3.0,275.0,3,12415.349887133183
BTM 2nd Stage,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Byrasandra,3 BHK,1455.0,2.0,56.0,3,3848.7972508591065
 Rachenahalli,1 RK,440.0,1.0,28.0,1,6363.636363636364
Kanakpura Road,3 Bedroom,1500.0,3.0,97.0,3,6466.666666666667
Old Madras Road,2 BHK,1225.0,2.0,53.55,2,4371.428571428572
Electronic City,3 BHK,880.0,2.0,18.0,3,2045.4545454545455
9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
Whitefield,3 BHK,1562.0,3.0,103.0,3,6594.110115236876
Devanahalli,4 Bedroom,5000.0,5.0,395.0,4,7900.0
Whitefield,2 BHK,1190.0,2.0,67.0,2,5630.252100840336
Chikkalasandra,2 BHK,1070.0,2.0,50.0,2,4672.897196261682
Jalahalli East,2 BHK,1020.0,2.0,42.48,2,4164.705882352941
Akshaya Vana,3 BHK,1300.0,2.0,49.0,3,3769.230769230769
Hebbal,2 BHK,1420.0,2.0,123.0,2,8661.971830985916
Hebbal,3 BHK,1069.0,3.0,65.4,3,6117.867165575305
Marathahalli,3 BHK,1900.0,3.0,123.0,3,6473.684210526316
Old Airport Road,2 BHK,1655.0,2.0,97.65,2,5900.302114803625
Uttarahalli,2 BHK,1155.0,2.0,40.42,2,3499.5670995670994
Sarjapur  Road,3 BHK,1300.0,2.0,70.0,3,5384.615384615385
Electronic City,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Doddathoguru,2 BHK,1030.0,2.0,42.0,2,4077.669902912621
Vittasandra,2 BHK,2105.0,2.0,70.2,2,3334.916864608076
Bhoganhalli,3 BHK,1700.0,3.0,126.0,3,7411.764705882353
Jakkur,3 BHK,1760.0,3.0,139.0,3,7897.727272727273
Bannerghatta Road,2 BHK,912.0,2.0,55.0,2,6030.701754385965
Channasandra Layout,3 BHK,1535.0,3.0,55.0,3,3583.061889250814
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Jigani,2 BHK,918.0,2.0,63.2,2,6884.531590413943
Begur Road,3 BHK,1500.0,2.0,70.0,3,4666.666666666667
Kasavanhalli,3 BHK,1476.0,3.0,89.0,3,6029.810298102981
Vijayanagar,1 BHK,606.0,1.0,34.78,1,5739.273927392739
Neeladri Nagar,1 BHK,527.0,1.0,26.0,1,4933.586337760911
OMBR Layout,2 BHK,1300.0,2.0,80.0,2,6153.846153846154
Koramangala,2 BHK,1140.0,2.0,75.2,2,6596.491228070176
Whitefield,3 BHK,2321.0,4.0,128.0,3,5514.864282636794
Sarjapur  Road,3 BHK,1725.0,3.0,90.0,3,5217.391304347826
Hebbal,4 BHK,3067.0,4.0,310.0,4,10107.597000326052
Hennur Road,3 BHK,1186.0,2.0,63.0,3,5311.973018549747
Kanakpura Road,2 BHK,1230.0,2.0,85.0,2,6910.569105691057
Binny Pete,1 BHK,660.0,1.0,54.0,1,8181.818181818182
Basavangudi,2 BHK,1036.0,2.0,105.0,2,10135.135135135135
Old Madras Road,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Electronics City Phase 1,2 BHK,1015.0,2.0,56.0,2,5517.241379310345
Nehru Nagar,3 BHK,2167.0,3.0,170.0,3,7844.946931241348
Gopalkrishna Nagar,2 BHK,1165.0,2.0,75.0,2,6437.768240343347
BTM 2nd Stage,2 BHK,1274.0,2.0,70.0,2,5494.505494505494
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.02,2,3390.095569070374
Thubarahalli,3 BHK,1626.0,2.0,120.0,3,7380.073800738008
Raja Rajeshwari Nagar,3 BHK,1570.0,2.0,65.0,3,4140.127388535032
Keerthi Layout,2 BHK,780.0,2.0,25.0,2,3205.128205128205
Kereguddadahalli,2 BHK,904.0,2.0,30.0,2,3318.5840707964603
Shikaripalya,2 BHK,1121.0,2.0,43.72,2,3900.0892060660126
7th Phase JP Nagar,3 BHK,1385.0,2.0,58.17,3,4200.0
Sahakara Nagar,2 BHK,1270.0,2.0,69.85,2,5499.999999999999
Kanakpura Road,3 BHK,1450.0,3.0,56.0,3,3862.0689655172414
Raja Rajeshwari Nagar,3 BHK,1580.0,3.0,53.56,3,3389.8734177215188
Thanisandra,2 BHK,1111.0,2.0,50.0,2,4500.450045004501
Varthur,2 BHK,977.0,2.0,36.0,2,3684.74923234391
Sarjapur,4 Bedroom,2540.0,4.0,115.0,4,4527.55905511811
Jakkur,2 BHK,1290.0,2.0,100.0,2,7751.937984496124
Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
Kanakpura Road,2 BHK,700.0,1.0,35.0,2,5000.0
Ambedkar Colony,2 BHK,1463.0,1.0,142.0,2,9706.083390293916
Bommenahalli,4 Bedroom,1670.0,3.0,135.0,4,8083.832335329342
Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
Marsur,3 Bedroom,1200.0,3.0,90.0,3,7500.0
1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
Hoskote,3 BHK,1225.0,3.0,40.0,3,3265.3061224489797
Thanisandra,2 BHK,1185.5,2.0,58.68,2,4949.810206663855
Bellandur,2 BHK,900.0,2.0,56.0,2,6222.222222222223
Binny Pete,2 BHK,1350.0,2.0,91.0,2,6740.740740740741
Kaggalipura,1 BHK,700.0,1.0,36.0,1,5142.857142857143
Mysore Road,2 BHK,1005.0,2.0,35.175,2,3499.9999999999995
LB Shastri Nagar,2 BHK,1043.0,2.0,55.0,2,5273.250239693192
Hebbal,2 BHK,1040.0,2.0,46.0,2,4423.076923076923
Tindlu,3 BHK,1357.0,2.0,65.0,3,4789.977892409727
Doddathoguru,3 BHK,1549.0,3.0,65.0,3,4196.255648805681
Yeshwanthpur,2 BHK,1400.0,2.0,100.0,2,7142.857142857143
Dodda Nekkundi,2 BHK,1080.0,2.0,50.0,2,4629.62962962963
Ulsoor,2 BHK,1180.0,2.0,100.0,2,8474.57627118644
Domlur,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500.408163265306
Abbigere,2 BHK,1005.0,2.0,39.59,2,3939.303482587065
Whitefield,2 BHK,1320.0,2.0,95.0,2,7196.969696969697
Hagadur,2 BHK,1110.0,2.0,51.0,2,4594.594594594595
Electronic City,2 BHK,1128.0,2.0,65.35,2,5793.439716312056
Jakkur,2 BHK,1452.19,2.0,100.0,2,6886.151261198604
Banashankari,3 BHK,2600.0,4.0,135.0,3,5192.307692307692
Sarakki Nagar,3 BHK,2500.0,4.0,325.0,3,13000.0
Soundarya Layout,2 BHK,960.0,2.0,32.0,2,3333.3333333333335
Whitefield,2 BHK,735.0,2.0,35.0,2,4761.9047619047615
Rajaji Nagar,5 BHK,2849.0,5.0,300.0,5,10530.01053001053
Hebbal,2 BHK,1420.0,2.0,99.39,2,6999.295774647887
Bisuvanahalli,2 BHK,850.0,1.0,32.0,2,3764.705882352941
7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
Thigalarapalya,2 BHK,1418.0,2.0,104.0,2,7334.273624823695
Hennur Road,2 BHK,1065.0,2.0,42.6,2,4000.0
Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2,2887.9310344827586
Kudlu,2 BHK,1092.0,2.0,44.0,2,4029.3040293040294
Yelahanka,3 BHK,1455.0,3.0,61.5,3,4226.80412371134
Abbigere,1 BHK,734.0,1.0,19.82,1,2700.272479564033
Samethanahalli,2 BHK,799.0,2.0,38.0,2,4755.944931163955
Ardendale,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Cunningham Road,3 BHK,3875.0,3.0,864.0,3,22296.774193548386
8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.089253187614
Dollars Layout,3 BHK,1460.0,3.0,88.0,3,6027.397260273972
Varthur,2 BHK,1091.0,2.0,32.0,2,2933.0889092575617
Yelahanka,2 BHK,1180.0,2.0,42.0,2,3559.322033898305
Kanakpura Road,2 BHK,1366.0,3.0,76.85,2,5625.915080527086
RMV Extension,3 BHK,1685.0,3.0,95.0,3,5637.982195845697
Koramangala,2 BHK,1260.0,2.0,100.0,2,7936.507936507936
Whitefield,3 Bedroom,3010.0,3.0,200.0,3,6644.518272425249
Whitefield,2 BHK,1346.0,2.0,96.17,2,7144.873699851411
Chandapura,1 BHK,630.0,1.0,13.86,1,2200.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
Electronic City,2 BHK,755.0,1.0,34.0,2,4503.311258278146
Parappana Agrahara,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
Hebbal,4 BHK,4235.0,4.0,365.0,4,8618.654073199528
Rachenahalli,3 BHK,2250.0,3.0,195.0,3,8666.666666666666
Vijayanagar,2 BHK,1352.0,2.0,68.0,2,5029.585798816568
Thanisandra,3 BHK,2002.0,3.0,112.0,3,5594.4055944055945
Bileshivale,4 Bedroom,4000.0,5.0,280.0,4,7000.0
Kaval Byrasandra,2 BHK,1060.0,2.0,45.0,2,4245.2830188679245
Kanakpura Road,3 BHK,1419.59,2.0,59.0,3,4156.129586711656
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,51.15,2,4276.755852842809
Electronics City Phase 1,3 BHK,1595.0,3.0,75.0,3,4702.194357366771
Banashankari,2 BHK,1260.0,2.0,75.0,2,5952.380952380952
Frazer Town,2 BHK,1550.0,2.0,140.0,2,9032.258064516129
Electronic City,4 Bedroom,4000.0,5.0,150.0,4,3750.0
Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.320096269555
Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390.977443609023
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.0,2,3382.663847780127
Raja Rajeshwari Nagar,3 BHK,1560.0,2.0,62.4,3,4000.0
Thanisandra,3 BHK,1634.0,3.0,78.0,3,4773.561811505508
Ambedkar Nagar,5 Bedroom,5530.0,5.0,627.0,5,11338.155515370705
Nagavarapalya,2 BHK,1392.0,2.0,99.0,2,7112.068965517241
Jakkur,3 BHK,1798.0,3.0,120.0,3,6674.082313681869
Babusapalaya,3 BHK,1675.0,3.0,75.0,3,4477.611940298508
Hebbal,3 BHK,1700.0,3.0,124.0,3,7294.117647058823
Hulimavu,2 BHK,1248.0,2.0,69.0,2,5528.846153846154
Kalkere,2 BHK,1147.0,2.0,54.0,2,4707.933740191805
Sultan Palaya,2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
Vijayanagar,3 BHK,1527.0,3.0,115.0,3,7531.106745252128
Kanakpura Road,1 BHK,525.0,1.0,25.0,1,4761.9047619047615
Kaggadasapura,2 BHK,1100.0,2.0,58.0,2,5272.727272727273
Gopal Reddy Layout,3 BHK,2100.0,3.0,75.0,3,3571.4285714285716
Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930.930930930931
Kasavanhalli,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Ramagondanahalli,2 BHK,1251.0,2.0,47.4,2,3788.968824940048
Pai Layout,3 BHK,1400.0,2.0,67.0,3,4785.714285714285
Rajaji Nagar,3 BHK,1800.0,3.0,260.0,3,14444.444444444445
Hegde Nagar,3 BHK,1703.0,3.0,113.0,3,6635.3493834409865
Jigani,2 BHK,933.0,2.0,43.0,2,4608.788853161844
Brookefield,2 BHK,1262.0,2.0,75.0,2,5942.947702060222
Yelahanka,2 BHK,915.0,2.0,48.0,2,5245.901639344263
Panathur,3 BHK,1370.0,2.0,61.5,3,4489.051094890511
Malleshpalya,2 BHK,1210.0,2.0,55.0,2,4545.454545454545
Kodihalli,3 BHK,2392.0,4.0,260.0,3,10869.565217391304
Thanisandra,3 BHK,1445.0,2.0,40.31,3,2789.61937716263
Uttarahalli,3 BHK,1300.0,2.0,55.0,3,4230.7692307692305
Jakkur,2 BHK,1300.0,2.0,85.0,2,6538.461538461538
Chandapura,3 BHK,1185.0,2.0,30.22,3,2550.2109704641352
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
Lakshminarayana Pura,2 BHK,1149.0,2.0,75.0,2,6527.415143603133
Sarjapur  Road,3 BHK,2180.0,3.0,170.0,3,7798.165137614679
Thurahalli,5 Bedroom,1200.0,5.0,195.0,5,16250.0
Hulimavu,3 BHK,1818.0,3.0,135.0,3,7425.742574257426
Rajaji Nagar,3 BHK,1640.0,3.0,241.0,3,14695.121951219513
Nagarbhavi,3 BHK,1350.0,2.0,54.6,3,4044.4444444444443
Hoodi,2 BHK,1430.0,2.0,113.0,2,7902.097902097902
Sarjapur  Road,2 BHK,1084.0,2.0,55.0,2,5073.8007380073805
Hennur Road,3 BHK,1186.0,2.0,56.0,3,4721.753794266442
Kengeri,2 BHK,1255.0,2.0,50.0,2,3984.06374501992
Haralur Road,4 BHK,3400.0,5.0,240.0,4,7058.823529411765
Hosa Road,3 BHK,1541.0,3.0,69.84,3,4532.121998702141
Iblur Village,4 BHK,3596.0,5.0,282.0,4,7842.046718576195
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,70.0,2,5405.405405405405
7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,3,3999.2700729927005
Electronic City,2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
Hebbal,4 BHK,4772.0,6.0,510.0,4,10687.34283319363
Rajaji Nagar,2 BHK,1370.0,2.0,170.0,2,12408.759124087592
JP Nagar,2 BHK,1200.0,2.0,62.0,2,5166.666666666667
Somasundara Palya,2 BHK,1178.0,2.0,73.0,2,6196.9439728353145
Dasanapura,3 BHK,1286.0,3.0,61.44,3,4777.604976671851
Begur Road,2 BHK,1160.0,2.0,42.0,2,3620.689655172414
Jigani,2 BHK,918.0,2.0,55.0,2,5991.285403050109
Electronic City,3 BHK,1563.0,3.0,91.84,3,5875.879718490083
Hebbal,4 BHK,3960.0,5.0,386.0,4,9747.474747474747
Kaggadasapura,2 BHK,1325.0,2.0,50.0,2,3773.5849056603774
Sonnenahalli,2 BHK,1100.0,2.0,44.0,2,4000.0
Cunningham Road,3 BHK,3875.0,3.0,800.0,3,20645.16129032258
Gollarapalya Hosahalli,3 BHK,1605.0,3.0,50.0,3,3115.264797507788
Somasundara Palya,2 BHK,1260.0,2.0,60.0,2,4761.9047619047615
Hoodi,3 BHK,1553.0,3.0,83.09,3,5350.289761751449
Whitefield,2 BHK,1280.0,2.0,52.0,2,4062.5
Hebbal,3 BHK,1550.0,2.0,75.0,3,4838.709677419355
Murugeshpalya,3 BHK,1550.0,3.0,74.0,3,4774.193548387097
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3,5340.59405940594
Hosa Road,3 BHK,1332.0,2.0,86.12,3,6465.465465465465
Electronic City,3 BHK,1652.0,3.0,70.0,3,4237.28813559322
Hegde Nagar,3 BHK,1570.0,3.0,105.0,3,6687.898089171975
Sarjapur  Road,4 Bedroom,5400.0,4.0,725.0,4,13425.925925925925
Sector 2 HSR Layout,1 BHK,794.0,1.0,60.0,1,7556.675062972292
7th Phase JP Nagar,4 Bedroom,3600.0,3.0,410.0,4,11388.888888888889
HRBR Layout,3 BHK,2800.0,3.0,250.0,3,8928.57142857143
Sarjapur  Road,3 BHK,1750.0,3.0,110.0,3,6285.714285714285
Kadubeesanahalli,3 BHK,1665.0,3.0,70.0,3,4204.204204204204
Outer Ring Road East,4 Bedroom,4051.0,4.0,345.0,4,8516.415699827203
Bommasandra,3 BHK,1447.0,3.0,80.0,3,5528.6800276434005
Balagere,2 BHK,1012.0,2.0,75.0,2,7411.067193675889
Malleshpalya,3 BHK,1900.0,3.0,60.0,3,3157.8947368421054
Narayanapura,2 BHK,1308.0,2.0,92.66,2,7084.0978593272175
Gunjur,2 BHK,1140.0,2.0,49.11,2,4307.894736842105
Jakkur,4 BHK,3181.0,4.0,260.5,4,8189.248663942157
Kanakapura,3 BHK,1290.0,3.0,45.15,3,3500.0
Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144.404332129964
Shanthala Nagar,5 BHK,8321.0,5.0,2700.0,5,32448.02307414974
Battarahalli,3 BHK,1777.0,3.0,100.0,3,5627.462014631401
Anandapura,3 BHK,1576.0,3.0,59.1,3,3750.0
Raja Rajeshwari Nagar,1 BHK,648.0,1.0,31.75,1,4899.691358024691
